key,value
639,48,
640,30,
641,116,
642,34,
643,183,
644,38,
645,77,
646,66,
647,49,
648,175,
649,33,
650,18,
651,176,
652,54,
653,46,
654,132,
655,72,
656,99,
657,41,
658,39,
659,17,
660,93,
661,86,
662,146,
663,196,
664,270,
665,40,
666,30,
667,113,
668,102,
669,29,
670,55,
671,20,
672,52,
673,62,
674,33,
675,38,
676,11,
677,37,
678,110,
679,51,
680,50,
681,69,
682,259,
683,114,
684,274,
685,72,
686,43,
687,49,
688,39,
689,69,
690,26,
691,111,
692,60,
693,42,
694,60,
695,58,
696,122,
697,182,
698,107,
699,69,
700,78,
701,47,
702,40,
703,83,
704,120,
705,37,
706,59,
707,34,
708,135,
709,39,
710,104,
711,22,
712,38,
713,33,
714,40,
715,33,
716,42,
717,125,
718,97,
719,62,
720,91,
721,70,
722,100,
723,59,
724,117,
725,265,
726,204,
727,118,
728,56,
729,64,
730,25,
731,110,
732,142,
733,46,
734,117,
735,37,
736,129,
737,186,
738,63,
739,100,
740,50,
741,42,
742,38,
743,21,
744,53,
745,24,
746,150,
747,51,
748,208,
749,46,
750,183,
751,53,
752,33,
753,42,
754,69,
755,52,
756,79,
757,29,
758,67,
759,189,
760,77,
761,57,
762,36,
763,24,
764,110,
765,59,
766,148,
767,87,
768,85,
769,94,
770,96,
771,134,
772,78,
773,48,
774,144,
775,40,
776,76,
777,107,
778,91,
779,77,
780,86,
781,32,
782,39,
783,31,
784,205,
785,25,
786,64,
787,63,
788,464,
789,73,
790,182,
791,73,
792,75,
793,89,
794,51,
795,69,
796,192,
797,155,
798,137,
799,104,
800,67,
801,64,
802,136,
803,39,
804,101,
805,82,
806,94,
807,39,
808,110,
809,58,
810,249,
811,34,
812,102,
813,131,
814,17,
815,52,
816,33,
817,46,
818,148,
819,68,
820,21,
821,83,
822,45,
823,99,
824,128,
825,46,
826,87,
827,63,
828,48,
829,93,
830,146,
831,71,
832,73,
833,105,
834,71,
835,31,
836,180,
837,52,
838,79,
839,115,
840,38,
841,43,
842,71,
843,43,
844,45,
845,66,
846,35,
847,62,
848,86,
849,17,
850,53,
851,46,
852,22,
853,126,
854,87,
855,192,
856,89,
857,66,
858,30,
859,21,
860,128,
861,45,
862,51,
863,125,
864,44,
865,91,
866,47,
867,89,
868,116,
869,64,
870,135,
871,69,
872,36,
873,91,
874,99,
875,101,
876,102,
877,41,
878,107,
879,48,
880,46,
881,44,
882,68,
883,35,
884,36,
885,31,
886,67,
887,107,
888,68,
889,61,
890,23,
891,24,
892,58,
893,110,
894,50,
895,163,
896,96,
897,28,
898,45,
899,75,
900,70,
901,35,
902,58,
903,64,
904,69,
905,160,
906,32,
907,71,
908,85,
909,108,
910,177,
911,180,
912,24,
913,65,
914,132,
915,36,
916,47,
917,63,
918,58,
919,64,
920,28,
921,113,
922,159,
923,129,
924,40,
925,203,
926,190,
927,206,
928,77,
929,29,
930,123,
931,65,
932,45,
933,31,
934,299,
935,134,
936,176,
937,135,
938,124,
939,54,
940,75,
941,152,
942,88,
943,23,
944,94,
945,10,
946,89,
947,193,
948,77,
949,77,
950,42,
951,82,
952,213,
953,79,
954,113,
955,84,
956,48,
957,129,
958,54,
959,63,
960,46,
961,56,
962,36,
963,27,
964,22,
965,27,
966,95,
967,17,
968,50,
969,79,
970,18,
971,119,
972,96,
973,39,
974,67,
975,18,
976,187,
977,166,
978,147,
979,75,
980,85,
981,81,
982,86,
983,61,
984,214,
985,43,
986,165,
987,210,
988,109,
989,26,
990,27,
991,18,
992,78,
993,39,
994,151,
995,52,
996,142,
997,74,
998,56,
999,92,
1000,52,
1001,75,
1002,144,
1003,163,
1004,123,
1005,91,
1006,67,
1007,113,
1008,66,
1009,51,
1010,107,
1011,111,
1012,28,
1013,155,
1014,24,
1015,101,
1016,109,
1017,137,
1018,129,
1019,41,
1020,85,
1021,113,
1022,88,
1023,39,
1024,10,
1025,71,
1026,163,
1027,154,
1028,93,
1029,117,
1030,46,
1031,112,
1032,11,
1033,66,
1034,29,
1035,20,
1036,106,
1037,34,
1038,15,
